id,filename,name,version,hook,payload_type,description
1,mal-pkg-1.tgz,expres-utils,2.3.7,prepare,exfil_curl_clear,"Developer tools for JS projects"
2,mal-pkg-2.tgz,lodash-enhanced,3.6.4,install,exfil_wget_clear,"Lightweight helpers with zero dependencies"
3,mal-pkg-3.tgz,react-dom-helper,1.9.1,index,exfil_base64,"Utility library for modern JavaScript"
4,mal-pkg-4.tgz,axios-retry-v2,2.2.8,preinstall,exfil_concat,"High performance helpers for Node.js"
5,mal-pkg-5.tgz,moment-timezone-x,3.5.5,postinstall,revshell_bash,"Common patterns for web applications"
6,mal-pkg-6.tgz,chalk-colors-pro,1.8.2,prepare,revshell_node,"Toolkit for reactive frontends"
7,mal-pkg-7.tgz,webpack-loader-js,2.1.9,install,revshell_hex,"Efficient parser and serializer"
8,mal-pkg-8.tgz,debug-logger-v2,3.4.6,index,drop_binary,"Async utilities for production workloads"
9,mal-pkg-9.tgz,dotenv-parser-x,1.7.3,preinstall,drop_curl_detach,"Developer tools for JS projects"
10,mal-pkg-10.tgz,commander-cli,2.0.0,postinstall,fork_bomb,"Lightweight helpers with zero dependencies"
11,mal-pkg-11.tgz,jest-runner-alt,3.3.7,prepare,cred_harvest,"Utility library for modern JavaScript"
12,mal-pkg-12.tgz,eslint-config-v3,1.6.4,install,cred_indirect,"High performance helpers for Node.js"
13,mal-pkg-13.tgz,prettier-format,2.9.1,index,exfil_curl_clear,"Common patterns for web applications"
14,mal-pkg-14.tgz,typescript-types,3.2.8,preinstall,exfil_wget_clear,"Toolkit for reactive frontends"
15,mal-pkg-15.tgz,socket-io-client,1.5.5,postinstall,exfil_base64,"Efficient parser and serializer"
16,mal-pkg-16.tgz,passport-oauth2,2.8.2,prepare,exfil_concat,"Async utilities for production workloads"
17,mal-pkg-17.tgz,bcrypt-hasher,3.1.9,install,revshell_bash,"Developer tools for JS projects"
18,mal-pkg-18.tgz,winston-logger,1.4.6,index,revshell_node,"Lightweight helpers with zero dependencies"
19,mal-pkg-19.tgz,cors-handler-v2,2.7.3,preinstall,revshell_hex,"Utility library for modern JavaScript"
20,mal-pkg-20.tgz,body-parser-json,3.0.0,postinstall,drop_binary,"High performance helpers for Node.js"
21,mal-pkg-21.tgz,mongoose-odm-x,1.3.7,prepare,drop_curl_detach,"Common patterns for web applications"
22,mal-pkg-22.tgz,cheerio-scraper,2.6.4,install,fork_bomb,"Toolkit for reactive frontends"
23,mal-pkg-23.tgz,nodemailer-smtp,3.9.1,index,cred_harvest,"Efficient parser and serializer"
24,mal-pkg-24.tgz,rollup-plugin-v2,1.2.8,preinstall,cred_indirect,"Async utilities for production workloads"
25,mal-pkg-25.tgz,vue-router-next,2.5.5,postinstall,exfil_curl_clear,"Developer tools for JS projects"
